# artifact_type: raw_data
# circuit_file: 01_resistor_divider.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\dc_analysis\01_resistor_divider.cir
# analysis_type: dc
# executor: spice
# timestamp: 2026-04-22T10:26:31.080203

Vin,V(in),I(VIN),V(tap)
0.0,0.0,0.0,0.0
0.1,0.1,-5e-06,0.05
0.2,0.2,-1e-05,0.1
0.30000000000000004,0.30000000000000004,-1.5000000000000002e-05,0.15000000000000005
0.4,0.4,-2e-05,0.2
0.5,0.5,-2.5e-05,0.25
0.6,0.6,-3e-05,0.3
0.7,0.7,-3.5e-05,0.35
0.7999999999999999,0.7999999999999999,-3.9999999999999996e-05,0.39999999999999997
0.8999999999999999,0.8999999999999999,-4.4999999999999996e-05,0.44999999999999996
0.9999999999999999,0.9999999999999999,-4.9999999999999996e-05,0.49999999999999994
1.0999999999999999,1.0999999999999999,-5.4999999999999995e-05,0.5499999999999999
1.2,1.2,-6e-05,0.6
1.3,1.3,-6.5e-05,0.6500000000000001
1.4000000000000001,1.4000000000000001,-7.000000000000001e-05,0.7000000000000001
1.5000000000000002,1.5000000000000002,-7.500000000000002e-05,0.7500000000000002
1.6000000000000003,1.6000000000000003,-8.000000000000002e-05,0.8000000000000002
1.7000000000000004,1.7000000000000004,-8.500000000000002e-05,0.8500000000000002
1.8000000000000005,1.8000000000000005,-9.000000000000002e-05,0.9000000000000004
1.9000000000000006,1.9000000000000006,-9.500000000000003e-05,0.9500000000000003
2.0000000000000004,2.0000000000000004,-0.00010000000000000003,1.0000000000000002
2.1000000000000005,2.1000000000000005,-0.00010500000000000003,1.0500000000000003
2.2000000000000006,2.2000000000000006,-0.00011000000000000003,1.1000000000000003
2.3000000000000007,2.3000000000000007,-0.00011500000000000004,1.1500000000000004
2.400000000000001,2.400000000000001,-0.00012000000000000004,1.2000000000000004
2.500000000000001,2.500000000000001,-0.00012500000000000003,1.2500000000000007
2.600000000000001,2.600000000000001,-0.00013000000000000004,1.3000000000000005
2.700000000000001,2.700000000000001,-0.00013500000000000006,1.3500000000000005
2.800000000000001,2.800000000000001,-0.00014000000000000004,1.4000000000000008
2.9000000000000012,2.9000000000000012,-0.00014500000000000008,1.4500000000000008
3.0000000000000013,3.0000000000000013,-0.00015000000000000007,1.5000000000000007
3.1000000000000014,3.1000000000000014,-0.00015500000000000008,1.5500000000000007
3.2000000000000015,3.2000000000000015,-0.0001600000000000001,1.600000000000001
3.3000000000000016,3.3000000000000016,-0.00016500000000000008,1.6500000000000008
3.4000000000000017,3.4000000000000017,-0.0001700000000000001,1.7000000000000008
3.5000000000000018,3.5000000000000018,-0.0001750000000000001,1.750000000000001
3.600000000000002,3.600000000000002,-0.0001800000000000001,1.800000000000001
3.700000000000002,3.700000000000002,-0.0001850000000000001,1.850000000000001
3.800000000000002,3.800000000000002,-0.0001900000000000001,1.9000000000000012
3.900000000000002,3.900000000000002,-0.0001950000000000001,1.950000000000001
4.000000000000002,4.000000000000002,-0.0002000000000000001,2.000000000000001
4.100000000000001,4.100000000000001,-0.00020500000000000008,2.0500000000000007
4.200000000000001,4.200000000000001,-0.00021000000000000006,2.1000000000000005
4.300000000000001,4.300000000000001,-0.00021500000000000005,2.1500000000000004
4.4,4.4,-0.00022000000000000003,2.2
4.5,4.5,-0.00022500000000000002,2.25
4.6,4.6,-0.00022999999999999998,2.3
4.699999999999999,4.699999999999999,-0.00023499999999999997,2.3499999999999996
4.799999999999999,4.799999999999999,-0.00023999999999999995,2.3999999999999995
4.899999999999999,4.899999999999999,-0.00024499999999999994,2.4499999999999993
4.999999999999998,4.999999999999998,-0.0002499999999999999,2.499999999999999
5.099999999999998,5.099999999999998,-0.0002549999999999999,2.549999999999999
5.1999999999999975,5.1999999999999975,-0.00025999999999999987,2.5999999999999988
5.299999999999997,5.299999999999997,-0.00026499999999999983,2.649999999999999
5.399999999999997,5.399999999999997,-0.00026999999999999984,2.6999999999999984
5.4999999999999964,5.4999999999999964,-0.00027499999999999985,2.7499999999999987
5.599999999999996,5.599999999999996,-0.0002799999999999998,2.799999999999998
5.699999999999996,5.699999999999996,-0.0002849999999999998,2.8499999999999983
5.799999999999995,5.799999999999995,-0.0002899999999999998,2.8999999999999977
5.899999999999995,5.899999999999995,-0.00029499999999999974,2.9499999999999975
5.999999999999995,5.999999999999995,-0.0002999999999999997,2.999999999999998
6.099999999999994,6.099999999999994,-0.0003049999999999997,3.049999999999997
6.199999999999994,6.199999999999994,-0.0003099999999999997,3.0999999999999974
6.299999999999994,6.299999999999994,-0.0003149999999999997,3.149999999999997
6.399999999999993,6.399999999999993,-0.0003199999999999997,3.199999999999997
6.499999999999993,6.499999999999993,-0.00032499999999999966,3.2499999999999964
6.5999999999999925,6.5999999999999925,-0.0003299999999999996,3.2999999999999963
6.699999999999992,6.699999999999992,-0.0003349999999999996,3.3499999999999965
6.799999999999992,6.799999999999992,-0.0003399999999999996,3.399999999999996
6.8999999999999915,6.8999999999999915,-0.00034499999999999955,3.449999999999996
6.999999999999991,6.999999999999991,-0.00034999999999999956,3.4999999999999956
7.099999999999991,7.099999999999991,-0.0003549999999999996,3.549999999999996
7.19999999999999,7.19999999999999,-0.00035999999999999953,3.599999999999995
7.29999999999999,7.29999999999999,-0.0003649999999999995,3.649999999999995
7.39999999999999,7.39999999999999,-0.0003699999999999995,3.699999999999995
7.499999999999989,7.499999999999989,-0.00037499999999999947,3.7499999999999947
7.599999999999989,7.599999999999989,-0.0003799999999999994,3.799999999999995
7.699999999999989,7.699999999999989,-0.00038499999999999944,3.8499999999999943
7.799999999999988,7.799999999999988,-0.00038999999999999945,3.8999999999999946
7.899999999999988,7.899999999999988,-0.0003949999999999994,3.949999999999994
7.999999999999988,7.999999999999988,-0.0003999999999999994,3.9999999999999942
8.099999999999987,8.099999999999987,-0.0004049999999999994,4.049999999999994
8.199999999999987,8.199999999999987,-0.00040999999999999934,4.099999999999993
8.299999999999986,8.299999999999986,-0.00041499999999999935,4.149999999999993
8.399999999999986,8.399999999999986,-0.0004199999999999993,4.199999999999993
8.499999999999986,8.499999999999986,-0.0004249999999999993,4.249999999999993
