# artifact_type: raw_data
# circuit_file: 01_rc_step_response.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\01_rc_step_response.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:27:19.752816

Time (s),V(in),I(VIN),V(cap)
0.0,0.0,0.0,0.0
1e-07,0.0,0.0,0.0
2e-07,0.0,0.0,0.0
4e-07,0.0,0.0,0.0
8e-07,0.0,0.0,0.0
1.6e-06,0.0,0.0,0.0
3.2e-06,0.0,0.0,0.0
6.4e-06,0.0,0.0,0.0
1.28e-05,0.0,0.0,0.0
2.28e-05,0.0,0.0,0.0
3.28e-05,0.0,0.0,0.0
4.28e-05,0.0,0.0,0.0
5.2799999999999996e-05,0.0,0.0,0.0
6.28e-05,0.0,0.0,0.0
7.28e-05,0.0,0.0,0.0
8.28e-05,0.0,0.0,0.0
9.279999999999999e-05,0.0,0.0,0.0
9.999999999999999e-05,0.0,0.0,0.0
0.0001001,0.5000000000000122,-0.0004999500049995123,4.999500049995111e-05
0.0001003,1.5000000000000366,-0.0014997500349955373,0.0002499650044994556
0.0001007,3.5000000000000173,-0.0034987503349215346,0.0012496650784828672
0.00010099999999999999,4.999999999999987,-0.0049974759009861185,0.0025240990138689886
0.00010104970608444616,5.0,-0.0049972275083736035,0.0027724916263969193
0.0001011491182533385,5.0,-0.0049967307478405686,0.003269252159431777
0.00010134794259112316,5.0,-0.004995737374911898,0.004262625088102125
0.0001017455912666925,5.0,-0.004993751221456917,0.00624877854308268
0.00010254088861783119,5.0,-0.004989781282979025,0.010218717020975113
0.00010413148332010855,5.0,-0.00498185087034096,0.018149129659039843
0.0001073126727246633,5.0,-0.004966027827185776,0.033972172814223774
0.00011367505153377277,5.0,-0.004934532270304483,0.06546772969551722
0.00012367505153377276,5.0,-0.004885432446719364,0.11456755328063643
0.00013367505153377276,5.0,-0.004836821178592803,0.16317882140719725
0.00014367505153377276,5.0,-0.004788693604676457,0.2113063953235435
0.00015367505153377275,5.0,-0.004741044912092611,0.25895508790738886
0.00016367505153377275,5.0,-0.004693870335852884,0.30612966414711634
0.00017367505153377275,5.0,-0.0046471651583817105,0.3528348416182893
0.00018367505153377275,5.0,-0.004600924709044579,0.3990752909554208
0.00019367505153377275,5.0,-0.004555144363680951,0.44485563631904856
0.00020367505153377275,5.0,-0.0045098195441418375,0.49018045585816256
0.00021367505153377275,5.0,-0.004464945717831969,0.5350542821680316
0.00022367505153377275,5.0,-0.004420518397256526,0.579481602743474
0.00023367505153377275,5.0,-0.004376533139572382,0.6234668604276187
0.00024367505153377275,5.0,-0.0043329855461438005,0.6670144538561997
0.00025367505153377277,5.0,-0.004289871262102569,0.7101287378974318
0.0002636750515337728,5.0,-0.004247185975912493,0.7528140240875073
0.0002736750515337728,5.0,-0.004204925418938239,0.7950745810617611
0.00028367505153377285,5.0,-0.004163085365018455,0.8369146349815446
0.0002936750515337729,5.0,-0.004121661630043147,0.8783383699568528
0.0003036750515337729,5.0,-0.004080650071535255,0.919349928464745
0.00031367505153377293,5.0,-0.0040400465882363965,0.9599534117636034
0.00032367505153377296,5.0,-0.003999847119696731,1.0001528803032693
0.000333675051533773,5.0,-0.003960047645868903,1.0399523541310975
0.000343675051533773,5.0,-0.003920644186706027,1.0793558132939725
0.00035367505153377304,5.0,-0.0038816328017636788,1.1183671982363212
0.00036367505153377306,5.0,-0.0038430095898058314,1.1569904101941686
0.0003736750515337731,5.0,-0.0038047706884147287,1.1952293115852715
0.0003836750515337731,5.0,-0.003766912273604632,1.2330877263953681
0.00039367505153377314,5.0,-0.0037294305594394116,1.2705694405605885
0.00040367505153377317,5.0,-0.0036923217976539448,1.3076782023460554
0.0004136750515337732,5.0,-0.003655582277279279,1.344417722720721
0.0004236750515337732,5.0,-0.003619208324271525,1.380791675728475
0.00043367505153377324,5.0,-0.0035831963011444447,1.416803698855555
0.00044367505153377327,5.0,-0.0035475426066056944,1.452457393394306
0.0004536750515337733,5.0,-0.003512243675196682,1.487756324803318
0.0004636750515337733,5.0,-0.0034772959769360187,1.5227040230639814
0.00047367505153377335,5.0,-0.0034426960169665058,1.557303983033494
0.0004836750515337734,5.0,-0.003408440335205645,1.5915596647943548
0.0004936750515337734,5.0,-0.0033745255059996187,1.6254744940003814
0.0005036750515337734,5.0,-0.0033409481377807172,1.6590518622192831
0.0005136750515337735,5.0,-0.0033077048727281726,1.6922951272718274
0.0005236750515337735,5.0,-0.00327479238643237,1.72520761356763
0.0005336750515337735,5.0,-0.0032422073875623962,1.7577926124376038
0.0005436750515337735,5.0,-0.0032099466175368996,1.7900533824631004
0.0005536750515337736,5.0,-0.003178006850198224,1.821993149801776
0.0005636750515337736,5.0,-0.0031463848914897842,1.853615108510216
0.0005736750515337736,5.0,-0.0031150775791366518,1.8849224208633482
0.0005836750515337736,5.0,-0.0030840817823293222,1.915918217670678
0.0005936750515337737,5.0,-0.0030533944014106227,1.9466055985893775
0.0006036750515337737,5.0,-0.0030230123675657407,1.9769876324342592
0.0006136750515337737,5.0,-0.002992932642515335,2.007067357484665
0.0006236750515337737,5.0,-0.0029631522182116997,2.0368477817883
0.0006336750515337738,5.0,-0.002933668116537951,2.0663318834620488
0.0006436750515337738,5.0,-0.0029044773890102103,2.0955226109897898
0.0006536750515337738,5.0,-0.002875577116482745,2.124422883517255
0.0006636750515337738,5.0,-0.002846964408856051,2.153035591143949
0.0006736750515337739,5.0,-0.0028186364047878315,2.1813635952121686
0.0006836750515337739,5.0,-0.0027905902714068583,2.2094097285931418
0.0006936750515337739,5.0,-0.0027628232040296753,2.2371767959703246
0.000703675051533774,5.0,-0.002735332425880126,2.264667574119874
0.000713675051533774,5.0,-0.002708115187811667,2.291884812188333
0.000723675051533774,5.0,-0.002681168768032446,2.318831231967554
0.000733675051533774,5.0,-0.0026544904718331184,2.3455095281668816
0.0007436750515337741,5.0,-0.002628077631317366,2.3719223686826343
0.0007536750515337741,5.0,-0.0026019276051351035,2.3980723948648968
0.0007636750515337741,5.0,-0.002576037778218336,2.423962221781664
0.0007736750515337741,5.0,-0.002550405561519646,2.449594438480354
0.0007836750515337742,5.0,-0.0025250283917532816,2.4749716082467184
0.0007936750515337742,5.0,-0.0024999037311388213,2.5000962688611787
0.0008036750515337742,5.0,-0.0024750290671473898,2.5249709328526104
0.0008136750515337742,5.0,-0.0024504019122504003,2.5495980877495996
0.0008236750515337743,5.0,-0.002426019803670794,2.573980196329206
0.0008336750515337743,5.0,-0.002401880303136757,2.598119696863243
0.0008436750515337743,5.0,-0.002377980996637884,2.6220190033621162
0.0008536750515337743,5.0,-0.0023543194941837756,2.6456805058162245
0.0008636750515337744,5.0,-0.0023308934295650312,2.669106570434969
0.0008736750515337744,5.0,-0.002307700460116623,2.692299539883377
0.0008836750515337744,5.0,-0.0022847382664836218,2.7152617335163782
0.0008936750515337745,5.0,-0.002262004552389257,2.7379954476107433
0.0009036750515337745,5.0,-0.002239497044405283,2.7605029555947174
0.0009136750515337745,5.0,-0.0022172134917246324,2.7827865082753678
0.0009236750515337745,5.0,-0.0021951516659363276,2.8048483340636725
0.0009336750515337746,5.0,-0.002173309360802633,2.826690639197367
0.0009436750515337746,5.0,-0.002151684392038428,2.848315607961572
